Year,Country,Disaster Subroup,Disaster Type,Total Events,Total Affected,Total Deaths,"Total Damage (USD, adjusted)"
#date +occurred,#country +name,#cause +subgroup,#cause +type,#frequency,#affected +ind,#affected +ind +killed,#value +usd
2018,United States of America,Hydrological,Flood,1,1596,,160262029
2018,United States of America,Hydrological,Flood,1,,5,512838494
2018,United States of America,Hydrological,Mass movement (wet),1,1366,21,1153886611
2018,United States of America,Meteorological,Storm,4,,43,4487336821
2018,United States of America,Meteorological,Storm,1,18,,1282096235
2018,United States of America,Meteorological,Storm,2,75,8,3525764645
2018,United States of America,Meteorological,Storm,1,,,1923144352
2018,United States of America,Meteorological,Storm,3,1505000,107,38623149065
2019,United States of America,Climatological,Wildfire,2,1265,3,2046321552
2019,United States of America,Geophysical,Earthquake,1,150,,251854960
2019,United States of America,Hydrological,Flood,3,14600,5,
2019,United States of America,Hydrological,Flood,1,2000,5,12592748013
2019,United States of America,Meteorological,Storm,3,57,45,
2019,United States of America,Meteorological,Storm,2,12,7,1511129762
2019,United States of America,Meteorological,Storm,1,,10,125927480
2019,United States of America,Meteorological,Storm,2,,22,3570044062
2019,United States of America,Meteorological,Storm,3,417,39,1876319454
2019,United States of America,Meteorological,Storm,3,1000,16,7177866367
2020,United States of America,Climatological,Drought,1,,45,5597684489
2020,United States of America,Climatological,Wildfire,1,,32,13683228750
2020,United States of America,Hydrological,Flood,1,10000,1,2612252761
2020,United States of America,Hydrological,Flood,1,3000,,217687730
2020,United States of America,Meteorological,Storm,1,,4,8458723227
2020,United States of America,Meteorological,Storm,1,,,1741501841
2020,United States of America,Meteorological,Storm,1,,11,435375460
2020,United States of America,Meteorological,Storm,4,,14,9702653114
2020,United States of America,Meteorological,Storm,4,12531,66,12812477830
2020,United States of America,Meteorological,Storm,8,15900,80,41578356452
2021,United States of America,Climatological,Drought,1,,,10693029124
2021,United States of America,Climatological,Wildfire,2,57164,3,5346514562
2021,United States of America,Climatological,Wildfire,4,4693,2,4318795652
2021,United States of America,Hydrological,Flood,5,1325,36,2079200107
2021,United States of America,Hydrological,Flood,6,500,21,2257417259
2021,United States of America,Hydrological,Flood,1,51,1,178217152
2021,United States of America,Meteorological,Extreme temperature,1,,229,
2021,United States of America,Meteorological,Storm,2,10,239,35762241846
2021,United States of America,Meteorological,Storm,1,,,1544548651
2021,United States of America,Meteorological,Storm,9,452,33,14180144732
2021,United States of America,Meteorological,Storm,1,344,14,445542880
2021,United States of America,Meteorological,Storm,5,230,104,10479168541
2021,United States of America,Meteorological,Storm,5,14200,104,82039295664
2022,United States of America,Climatological,Drought,1,,136,24201702056
2022,United States of America,Climatological,Wildfire,4,2402,6,336623674
2022,United States of America,Geophysical,Earthquake,1,12,2,275019342
2022,United States of America,Hydrological,Flood,3,1075,42,1650116049
2022,United States of America,Meteorological,Storm,2,,103,3547749506
